,YEA,MON,NEW_CNT,USED_CNT,ER_CNT
0,2024,01,125506,178014,82182
1,2024,02,98304,157378,69767
2,2024,03,125189,174151,85114
3,2024,04,123450,177620,96919
4,2024,05,122865,170657,89216
5,2024,06,118167,151534,76302
6,2024,07,126514,179106,92807
7,2024,08,103784,160252,87809
8,2024,09,115766,148719,79542
9,2024,10,127802,163314,92153
10,2024,11,130006,151292,83198
11,2024,12,121957,157656,91829
12,2025,01,110919,148854,79348
13,2025,02,117369,168259,98656
14,2025,03,129249,172283,104546
15,2025,04,135526,165807,116358
16,2025,05,130311,152592,99288
17,2025,06,130785,155237,95441
18,2025,07,134385,177643,110048
19,2025,08,112785,156286,97062
